,Kraj,Temp,Wilgotność,Wiatr,Zaludnienie,Siec drogowa,Iglaste ,Zachmurzenie ,Dni bez opadow
0,Afghanistan,25,35,27,60,5,2,36,12
1,Åland Islands,12,94,19,19,10,10,64,10
2,Albania,31,47,22,104,14,9,49,6
3,Algeria,24,61,13,18,65,0,51,9
4,American Samoa,26,87,20,276,121,0,85,7
5,Andorra,24,40,27,164,68,12,49,2
6,Angola,25,81,15,26,6,0,79,11
7,Anguilla,29,65,5,167,192,0,49,5
8,Antarctica,-15,13,6,1,0,0,41,10
9,Antigua and Barbuda,29,63,22,223,386,21,66,5
10,Argentina,12,52,12,17,10,12,69,12
11,Armenia,27,33,6,104,26,15,59,11
12,Aruba,30,57,8,593,1,16,62,4
13,Australia,9,77,18,3,11,14,85,6
14,Austria,24,42,7,108,151,57,39,4
15,Azerbaijan,25,48,8,122,23,35,67,10
16,Bahamas,28,66,13,39,19,3,47,10
17,Bahrain,33,44,11,2182,537,0,49,1
18,Bangladesh,28,81,2,1265,250,1,88,12
19,Barbados,29,74,19,668,395,5,82,11
20,Belarus,11,92,15,46,42,69,68,5
21,Belgium,21,38,12,381,388,43,59,12
22,Belize,29,76,7,17,14,0,50,7
23,Benin,31,69,15,108,14,0,58,10
24,Bermuda,26,72,9,1183,843,7,49,4
25,Bhutan,16,95,26,20,32,0,97,7
26,Bolivia (Plurinational State of),16,32,5,11,9,1,27,2
27,"Bonaire, Sint Eustatius and Saba",30,65,28,152,12,0,41,12
28,Bosnia and Herzegovina,27,47,12,64,45,38,33,10
29,Botswana,14,44,11,4,5,0,64,9
30,Bouvet Island,18,95,11,0,0,0,92,3
31,Brazil,18,81,12,25,23,1,76,11
32,British Indian Ocean Territory,18,85,16,202,132,3,76,10
33,Brunei Darussalam,26,100,27,83,52,0,66,7
34,Bulgaria,29,38,3,64,18,33,62,7
35,Burkina Faso,38,36,17,76,6,0,43,8
36,Burundi,25,70,15,463,44,0,59,5
37,Cabo Verde,29,68,17,138,34,6,56,3
38,Cambodia,31,41,16,95,30,1,38,1
39,Cameroon,27,73,6,56,13,0,79,11
